speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
40-54,0,alive,airbag,belted,1,m,49,1998,1998,deploy,driver,1,0
25-39,50.6169999996,alive,none,belted,1,m,19,1997,1989,unavail,pass,0,2
40-54,44.7379999999,alive,airbag,belted,1,f,76,1999,1993,deploy,driver,1,3
10-24,43.6659999997,alive,none,belted,1,m,27,2001,1991,unavail,driver,0,0
25-39,103.0359999994,alive,none,none,1,m,50,1998,1990,unavail,driver,0,1
40-54,71.0779999997,alive,none,belted,1,m,17,2002,1991,unavail,pass,0,1
25-39,29.8159999999,alive,airbag,none,1,f,31,1998,1997,deploy,driver,1,3
10-24,87.1349999998,alive,airbag,belted,0,m,31,1997,1995,nodeploy,pass,0,0
25-39,360.493999999,alive,none,belted,1,f,73,2001,1990,unavail,pass,0,0
55+,52.9479999999,dead,none,none,1,f,45,1999,1986,unavail,driver,0,4
25-39,21.2359999998,alive,airbag,belted,1,m,48,2001,1999,deploy,driver,1,3
10-24,75.0479999995,alive,airbag,belted,0,m,58,2002,1995,nodeploy,driver,0,3
25-39,605.7759999931,alive,none,belted,1,f,48,2000,1987,unavail,driver,0,1
25-39,86.2209999999,alive,none,belted,0,f,18,2000,1986,unavail,driver,0,3
55+,13.6229999999,alive,airbag,none,1,f,41,1997,1992,deploy,driver,1,1
25-39,288.5759999976,alive,none,belted,0,m,25,1998,1983,unavail,driver,0,0
40-54,34.9499999997,dead,airbag,belted,1,m,71,2000,1997,deploy,driver,1,4
25-39,8.7529999999,dead,none,none,0,f,16,1997,1991,unavail,pass,0,4
40-54,49.7749999999,alive,airbag,belted,0,m,63,1997,1995,deploy,driver,1,3
40-54,91.4269999992,alive,none,belted,1,m,51,1999,1991,unavail,driver,0,3
10-24,37.3249999997,alive,airbag,belted,1,m,40,2000,1995,deploy,driver,1,0
25-39,2257.8899999857,alive,none,belted,1,m,21,2002,1990,unavail,driver,0,0
25-39,15.6669999999,alive,airbag,none,0,m,19,1999,1994,nodeploy,driver,0,3
1-9km/h,133.7669999991,alive,airbag,belted,1,f,65,2000,2000,deploy,driver,1,1
25-39,320.9749999978,alive,airbag,belted,1,f,17,1999,1996,deploy,driver,1,2
10-24,10.2439999999,alive,none,none,1,f,23,1999,1988,unavail,pass,0,0
25-39,9.7799999999,alive,none,none,1,m,20,2000,1990,unavail,driver,0,3
40-54,51.8319999999,alive,airbag,belted,1,m,16,1999,1995,deploy,driver,1,2
25-39,334.7279999964,alive,none,none,0,f,20,2000,1991,unavail,driver,0,3
10-24,49.7679999997,alive,airbag,belted,1,f,24,1998,1995,deploy,driver,1,3
25-39,200.4919999987,alive,none,none,1,m,30,2000,1990,unavail,driver,0,2
10-24,19.2959999999,alive,airbag,belted,0,m,21,2002,1997,nodeploy,pass,0,1
10-24,31.3909999998,alive,none,belted,1,f,22,1999,1994,unavail,pass,0,3
25-39,33.8099999996,alive,none,belted,0,m,21,2000,1991,unavail,driver,0,0
10-24,119.2639999995,alive,airbag,none,1,m,70,1999,1998,deploy,driver,1,1
55+,47.0789999999,alive,none,belted,1,f,16,2002,1992,unavail,driver,0,3
40-54,126.0809999993,alive,none,belted,0,f,21,1999,1990,unavail,driver,0,3
25-39,659.4669999927,alive,none,none,1,f,35,1999,1986,unavail,pass,0,1
10-24,,alive,airbag,belted,1,m,27,1999,1992,deploy,driver,1,0
25-39,198.2989999987,alive,airbag,belted,1,f,16,1999,1995,deploy,driver,1,2
10-24,940.5379999951,alive,airbag,belted,1,f,63,2001,1990,nodeploy,driver,0,1
10-24,2544.3769999743,alive,airbag,belted,0,f,42,2002,1996,nodeploy,driver,0,0
10-24,159.4329999983,alive,airbag,belted,0,f,31,2001,1999,nodeploy,driver,0,2
10-24,877.786999993,alive,airbag,belted,0,m,73,1997,1997,nodeploy,driver,0,0
25-39,23.0809999998,alive,airbag,belted,1,m,66,2000,1990,nodeploy,driver,0,3
25-39,158.1799999997,alive,airbag,none,0,f,22,2000,1991,nodeploy,pass,0,0
10-24,1661.0709999949,alive,airbag,belted,0,f,35,1998,1997,nodeploy,driver,0,0
10-24,3.245,alive,airbag,belted,1,m,34,2000,1991,deploy,driver,1,1
40-54,380.4209999964,alive,none,none,1,m,17,2000,1988,unavail,driver,0,1
10-24,477.9639999978,alive,airbag,belted,0,m,39,2000,2000,nodeploy,driver,0,0
10-24,848.7669999972,alive,none,belted,0,f,17,1999,1990,unavail,driver,0,0
25-39,49.6899999999,alive,none,belted,1,f,57,1998,1992,unavail,pass,0,3
25-39,1691.6969999969,alive,none,belted,1,m,17,1999,1991,unavail,driver,0,0
10-24,0,alive,airbag,belted,1,f,16,1998,1998,deploy,driver,1,0
10-24,10.8309999999,alive,airbag,belted,0,f,25,2000,2000,deploy,driver,1,3
25-39,101.3209999995,alive,none,belted,1,m,23,1998,1988,unavail,driver,0,0
10-24,695.6649999991,alive,airbag,belted,0,f,47,2001,1996,deploy,pass,1,5
10-24,104.9119999995,alive,airbag,,1,f,28,1998,1998,deploy,driver,1,2
40-54,1642.9759999961,alive,none,none,1,m,45,2000,1989,unavail,driver,0,1
40-54,73.5179999992,alive,airbag,belted,1,m,26,1999,1991,deploy,driver,1,2
40-54,49.7679999997,alive,airbag,belted,1,f,47,1998,1998,deploy,driver,1,3
10-24,1554.0189999938,alive,airbag,belted,1,m,81,2001,1998,deploy,driver,1,0
10-24,82.4589999998,alive,none,belted,1,f,24,2001,1994,unavail,driver,0,0
40-54,23.0259999998,alive,airbag,belted,1,m,69,1998,1997,deploy,driver,1,3
1-9km/h,25688.3709998131,alive,airbag,belted,0,m,36,1997,1993,nodeploy,driver,0,0
40-54,46.423,dead,airbag,none,0,f,19,2001,1995,deploy,driver,1,4
40-54,18.8949999998,alive,airbag,none,0,f,17,2002,2001,nodeploy,driver,0,3
10-24,456.9159999974,alive,none,belted,0,f,68,1998,1985,unavail,driver,0,0
10-24,83.3619999997,alive,none,belted,0,m,65,1997,1982,unavail,driver,0,2
10-24,6.611,alive,none,none,1,m,26,1997,1992,unavail,driver,0,3
25-39,90.4109999994,alive,airbag,belted,1,f,32,2000,1993,deploy,driver,1,0
25-39,50.5059999996,alive,airbag,belted,1,m,42,1997,1996,deploy,driver,1,3
55+,13.664,alive,none,none,1,m,19,1999,1986,unavail,driver,0,2
10-24,94.0219999999,alive,airbag,none,1,f,53,2002,2001,nodeploy,driver,0,1
10-24,31.6809999999,alive,airbag,none,1,m,32,2002,2000,deploy,driver,1,3
10-24,18.3609999998,alive,airbag,belted,0,m,16,1997,1992,nodeploy,driver,0,0
25-39,354.4169999994,alive,airbag,belted,1,m,26,2001,1999,deploy,driver,1,2
55+,144.5159999989,alive,airbag,belted,1,m,21,1998,1997,deploy,driver,1,3
25-39,537.4349999949,alive,airbag,none,1,m,25,2000,1999,deploy,driver,1,3
10-24,269.311999999,alive,none,belted,0,m,39,2001,1993,unavail,driver,0,1
10-24,254.6229999997,alive,airbag,belted,0,f,39,2002,2000,nodeploy,driver,0,0
10-24,395.3339999989,alive,airbag,belted,0,m,55,2002,1999,nodeploy,driver,0,1
10-24,173.9649999999,alive,none,belted,0,m,71,2002,1977,unavail,driver,0,3
55+,18.1709999999,dead,none,none,1,m,41,2002,1989,unavail,driver,0,3
10-24,14.1849999999,alive,airbag,none,0,m,63,1999,1997,nodeploy,driver,0,3
10-24,415.4749999978,alive,none,belted,0,m,40,1997,1994,unavail,driver,0,1
25-39,18.3309999998,alive,none,none,0,f,18,1999,1988,unavail,driver,0,3
10-24,902.2079999968,alive,airbag,belted,0,f,82,1999,1994,nodeploy,driver,0,1
40-54,8.627,alive,none,none,1,f,20,1998,1993,unavail,driver,0,3
40-54,3.856,alive,none,none,1,m,38,1998,1984,unavail,pass,0,2
40-54,24.443,dead,airbag,none,1,f,21,2002,1998,deploy,driver,1,4
25-39,7.528,alive,airbag,none,0,f,39,2002,1996,nodeploy,driver,0,1
10-24,15.9179999999,alive,none,belted,0,m,40,1997,1984,unavail,driver,0,3
25-39,258.992999997,alive,airbag,belted,1,f,30,1997,1993,deploy,driver,1,1
10-24,50.838,alive,airbag,belted,1,f,47,1997,1997,deploy,driver,1,0
25-39,57.2769999998,alive,none,belted,1,m,32,1997,1992,unavail,driver,0,1
10-24,12.872,alive,airbag,belted,1,f,37,1998,1994,nodeploy,driver,0,2
10-24,136.9139999989,alive,airbag,belted,0,m,40,1999,1997,nodeploy,driver,0,1
10-24,616.1039999947,alive,none,none,1,m,33,2002,1993,unavail,pass,0,1
10-24,102.2469999995,alive,none,none,1,f,24,1997,1988,unavail,driver,0,3
10-24,42.9909999999,alive,airbag,none,0,f,44,1998,1995,nodeploy,pass,0,1
10-24,314.2249999978,alive,airbag,belted,1,m,25,2000,2000,deploy,driver,1,0
25-39,16.6789999998,alive,airbag,belted,0,f,50,1998,1996,nodeploy,driver,0,3
10-24,6.681,alive,airbag,none,1,m,28,1997,1994,nodeploy,driver,0,3
25-39,45.6319999998,alive,none,belted,1,m,31,1998,1992,unavail,driver,0,2
1-9km/h,63.781,alive,none,belted,1,m,19,1999,1986,unavail,pass,0,0
25-39,36.6549999998,alive,airbag,belted,0,f,18,2002,1999,nodeploy,pass,0,1
10-24,4527.9559999704,alive,airbag,belted,1,f,61,2001,1992,deploy,driver,1,0
25-39,41.8729999997,dead,airbag,belted,0,f,18,2002,2002,nodeploy,driver,0,4
10-24,52.1189999999,alive,airbag,none,0,m,41,1999,1995,deploy,driver,1,3
25-39,13.5419999999,alive,none,none,1,m,18,2002,1986,unavail,driver,0,3
10-24,448.7919999994,alive,none,none,0,f,21,2000,1992,unavail,driver,0,1
40-54,86.4669999992,alive,none,none,0,m,32,2000,1992,unavail,driver,0,3
10-24,64.0119999992,alive,airbag,belted,1,f,86,1997,1994,deploy,driver,1,2
10-24,30.7929999998,alive,airbag,none,0,m,30,2000,1999,deploy,pass,1,3
10-24,21.1399999999,alive,none,none,1,m,77,2002,1992,unavail,driver,0,3
40-54,137.1749999989,alive,none,none,1,m,33,2002,1990,unavail,driver,0,3
25-39,26.122,alive,airbag,belted,1,f,36,2000,1996,deploy,driver,1,1
25-39,3.856,alive,none,belted,1,m,20,1998,1989,unavail,driver,0,1
10-24,214.7089999989,alive,none,none,1,m,,1997,1983,unavail,driver,0,0
10-24,23.0809999998,alive,none,none,0,m,24,2000,1985,unavail,driver,0,3
10-24,90.5819999995,alive,airbag,belted,0,m,75,2002,1999,nodeploy,driver,0,2
25-39,43.2199999997,alive,none,none,1,m,18,1999,1985,unavail,driver,0,3
10-24,403.5259999968,alive,airbag,belted,0,m,42,1997,1991,deploy,driver,1,2
25-39,51.8319999999,alive,airbag,belted,1,f,24,1999,1998,deploy,driver,1,2
40-54,73.5179999992,alive,none,belted,1,f,21,1999,1995,unavail,pass,0,1
25-39,87.7409999995,alive,none,belted,1,m,59,1999,1981,unavail,driver,0,3
25-39,60.102,alive,airbag,belted,1,m,17,2000,1996,deploy,driver,1,3
25-39,80.943,alive,airbag,belted,1,f,21,1997,1995,deploy,driver,1,2
25-39,19.2959999999,alive,none,none,0,m,29,2002,1994,unavail,driver,0,3
25-39,16.4709999999,alive,airbag,belted,0,f,25,2001,1999,deploy,driver,1,3
25-39,55.4419999998,alive,none,none,1,m,28,2000,1984,unavail,driver,0,2
10-24,247.9809999987,alive,airbag,none,0,f,24,1998,1998,nodeploy,driver,0,0
10-24,150.9339999985,alive,airbag,belted,1,f,17,2002,1998,deploy,pass,1,2
40-54,21.6779999998,alive,airbag,none,0,m,24,1999,1998,nodeploy,driver,0,1
10-24,11.492,alive,none,belted,1,f,50,1998,1991,unavail,driver,0,3
25-39,55.3779999996,alive,airbag,belted,1,f,16,2000,1999,deploy,pass,1,1
25-39,11.72,alive,airbag,belted,0,m,74,2002,1993,nodeploy,driver,0,2
55+,18.4299999999,dead,none,belted,0,m,22,2001,1991,unavail,driver,0,4
25-39,51.8319999999,alive,airbag,belted,1,f,22,1999,1997,deploy,driver,1,0
10-24,30.4509999999,alive,airbag,belted,0,f,33,1999,1997,nodeploy,driver,0,1
10-24,22.9839999999,alive,airbag,belted,1,m,36,1998,1995,deploy,driver,1,3
25-39,31.3419999999,alive,none,none,1,m,48,1997,1990,unavail,driver,0,3
55+,22.2779999999,alive,none,none,1,m,29,1999,1993,unavail,pass,0,3
10-24,28.49,alive,none,none,1,m,57,1997,1989,unavail,driver,0,3
10-24,86.2209999999,alive,none,belted,0,m,61,2000,1981,unavail,driver,0,1
10-24,427.1959999986,alive,airbag,belted,1,f,19,2002,1999,deploy,driver,1,0
10-24,4335.9399999976,alive,none,belted,0,f,17,1999,1989,unavail,driver,0,3
25-39,48.0009999997,alive,airbag,,0,m,38,2001,1996,nodeploy,pass,0,3
10-24,749.2079999968,alive,none,none,1,f,34,1998,1987,unavail,pass,0,3
40-54,49.4829999995,dead,airbag,none,0,m,18,2000,1996,nodeploy,driver,0,4
25-39,86.2209999999,alive,none,none,0,m,19,2000,1984,unavail,pass,0,0
25-39,4736.3119999766,alive,airbag,belted,1,m,47,2001,1996,deploy,driver,1,0
55+,39.1209999998,dead,airbag,none,0,m,,1997,1996,deploy,driver,1,4
25-39,306.7149999999,alive,airbag,belted,0,m,53,2000,1995,nodeploy,driver,0,3
10-24,6202.665999949,alive,none,belted,0,f,75,1997,1993,unavail,driver,0,1
25-39,9.8219999999,alive,none,belted,1,m,29,2002,1994,unavail,driver,0,0
10-24,44.7479999997,alive,airbag,belted,1,m,29,1999,1999,,driver,1,0
10-24,402.1469999999,alive,airbag,belted,1,m,68,2000,1995,deploy,driver,1,0
25-39,64.2889999999,alive,none,belted,1,m,16,2002,1994,unavail,driver,0,2
25-39,56.4099999997,alive,airbag,belted,1,m,45,2000,1999,deploy,driver,1,2
25-39,957.623999998,alive,airbag,belted,0,m,25,2000,1994,nodeploy,driver,0,0
10-24,27.7509999999,alive,airbag,belted,1,f,21,2002,1997,deploy,pass,1,1
25-39,516.3249999955,alive,airbag,belted,0,f,18,1998,1999,nodeploy,driver,0,1
