year,age,maritl,race,education,jobclass,health,health_ins,wage
2003,45,2. Married,,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,129.0678205067
2005,22,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,54.0299651758
2008,40,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,90.4819133566
2009,27,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,122.2636738928
2003,52,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,96.3706528322
2008,34,2. Married,2. Black,4. College Grad,2. Information,2. >=Very Good,2. No,123.0896998479
2008,44,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,141.7751723332
2008,43,2. Married,3. Asian,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9906753611
,56,3. Widowed,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,87.9810327856
2003,73,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,40.1943705168
2007,47,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,85.383940379
2003,35,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,81.2832532843
2009,53,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,104.9215065337
2003,43,,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,72.4793162971
2003,43,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,81.2832532843
2004,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,272.2947832201
2007,46,2. Married,2. Black,2. HS Grad,2. Information,1. <=Good,2. No,76.8936025176
2006,50,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998479
2009,27,1. Never Married,,2. HS Grad,2. Information,2. >=Very Good,1. Yes,104.9215065337
2006,22,2. Married,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,90.4819133566
2006,47,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,112.6488963421
2007,60,1. Never Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,111.720849361
2004,44,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,117.1468169148
2007,22,1. Never Married,1. White,,1. Industrial,1. <=Good,2. No,59.0970640816
2003,69,2. Married,2. Black,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,114.4757132903
2009,32,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998479
2007,61,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4757132903
2006,51,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2003,34,2. Married,2. Black,3. Some College,,1. <=Good,2. No,91.6992261117
2005,49,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,70.4760196469
2004,31,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504899
2009,21,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,49.5553381215
2006,40,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,118.8843593399
2008,48,4. Divorced,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,115.3750385564
2009,55,2. Married,1. White,5. Advanced Degree,2. Information,,2. No,66.0446942318
2003,57,2. Married,2. Black,2. HS Grad,2. Information,1. <=Good,2. No,104.9215065337
2004,46,5. Separated,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.0727147457
2006,62,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,279.5017819637
2003,33,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,79.8549003093
2004,54,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,111.720849361
2005,29,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,,130.9821773775
2008,39,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,111.720849361
2007,71,2. Married,2. Black,4. College Grad,2. Information,1. <=Good,1. Yes,105.6914475305
2008,34,2. Married,2. Black,3. Some College,2. Information,2. >=Very Good,2. No,108.8745258347
2009,55,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.383940379
2009,44,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,166.3249412339
2009,27,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,81.2832532843
2005,25,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,
2004,42,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754083
2003,60,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9215065337
2008,49,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,144.1706064882
2008,25,1. Never Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2003,80,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,94.0727147457
2005,46,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,100.7642728421
2008,,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.1436011769
2005,49,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.0144055088
2004,43,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,2. No,154.6852929956
2009,26,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,105.9278107751
2005,46,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,85.383940379
